pedido_id,data_pedido,hora_pedido,cliente_id,cliente_nome,cliente_cpf,cliente_email,cliente_estado,produto_id,produto_nome,categoria,produto_preco_base,quantidade,valor_total_item,cupom_codigo,cupom_desconto_pct,valor_final_item,frete_valor,metodo_pagamento,status_pedido
10006,2024-06-09,17:36:07,2,"Laura Silva Gomes",852.766.116-53,laura.silva.gomes98@empresa.com,PR,1,"Tablet Ergonômico",Computadores,706.23,2,1412.46,VIP44,21,1115.84,37.00,Cartao Credito,Enviado
10007,2025-08-15,13:59:40,2,"Laura Silva Gomes",852.766.116-53,laura.silva.gomes98@empresa.com,PR,1,"Tablet Ergonômico",Computadores,706.23,2,1412.46,,0,1412.46,37.00,Cartao Debito,Entregue
10007,2025-08-15,13:59:40,2,"Laura Silva Gomes",852.766.116-53,laura.silva.gomes98@empresa.com,PR,1,"Tablet Ergonômico",Computadores,706.23,3,2118.69,,0,2118.69,38.00,Cartao Debito,Entregue
10007,2025-08-15,13:59:40,2,"Laura Silva Gomes",852.766.116-53,laura.silva.gomes98@empresa.com,PR,1,"Tablet Ergonômico",Computadores,706.23,1,706.23,,0,706.23,36.00,Cartao Debito,Entregue
10008,2025-03-09,07:28:22,1,"Alice Ferreira Souza",081.015.657-63,alice.ferreira.souza28@outlook.com,PE,1,"Tablet Ergonômico",Computadores,706.23,3,2118.69,,0,2118.69,37.00,Cartao Credito,Enviado
10009,2025-10-03,20:05:22,2,"Laura Silva Gomes",852.766.116-53,laura.silva.gomes98@empresa.com,PR,1,"Tablet Ergonômico",Computadores,706.23,1,706.23,,0,706.23,36.00,Cartao Debito,Entregue
10009,2025-10-03,20:05:22,2,"Laura Silva Gomes",852.766.116-53,laura.silva.gomes98@empresa.com,PR,1,"Tablet Ergonômico",Computadores,706.23,3,2118.69,,0,2118.69,38.00,Cartao Debito,Entregue
10009,2025-10-03,20:05:22,2,"Laura Silva Gomes",852.766.116-53,laura.silva.gomes98@empresa.com,PR,1,"Tablet Ergonômico",Computadores,706.23,2,1412.46,,0,1412.46,37.00,Cartao Debito,Entregue
10010,2025-09-16,17:13:42,1,"Alice Ferreira Souza",081.015.657-63,alice.ferreira.souza28@outlook.com,PE,1,"Tablet Ergonômico",Computadores,706.23,1,706.23,,0,706.23,35.00,Cartao Credito,Entregue
10010,2025-09-16,17:13:42,1,"Alice Ferreira Souza",081.015.657-63,alice.ferreira.souza28@outlook.com,PE,1,"Tablet Ergonômico",Computadores,706.23,2,1412.46,,0,1412.46,36.00,Cartao Credito,Entregue
10010,2025-09-16,17:13:42,1,"Alice Ferreira Souza",081.015.657-63,alice.ferreira.souza28@outlook.com,PE,1,"Tablet Ergonômico",Computadores,706.23,2,1412.46,,0,1412.46,36.00,Cartao Credito,Entregue
10010,2025-09-16,17:13:42,1,"Alice Ferreira Souza",081.015.657-63,alice.ferreira.souza28@outlook.com,PE,2,"Microfone Ergonômico",Móveis,1606.41,3,4819.23,,0,4819.23,37.00,Cartao Credito,Entregue
10011,2024-05-06,01:30:47,1,"Alice Ferreira Souza",081.015.657-63,alice.ferreira.souza28@outlook.com,PE,3,"Teclado Premium",Computadores,1697.33,2,3394.66,,0,3394.66,48.00,Boleto,Enviado
10011,2024-05-06,01:30:47,1,"Alice Ferreira Souza",081.015.657-63,alice.ferreira.souza28@outlook.com,PE,1,"Tablet Ergonômico",Computadores,706.23,2,1412.46,,0,1412.46,36.00,Boleto,Enviado
10012,2024-02-11,17:45:57,1,"Alice Ferreira Souza",081.015.657-63,alice.ferreira.souza28@outlook.com,PE,1,"Tablet Ergonômico",Computadores,706.23,1,706.23,,0,706.23,35.00,Cartao Debito,Concluido
10012,2024-02-11,17:45:57,1,"Alice Ferreira Souza",081.015.657-63,alice.ferreira.souza28@outlook.com,PE,1,"Tablet Ergonômico",Computadores,706.23,1,706.23,,0,706.23,35.00,Cartao Debito,Concluido
10013,2025-08-17,18:31:29,3,"Gabriel Oliveira Ferreira",976.721.468-46,gabriel.oliveira.ferreira86@hotmail.com,BA,2,"Microfone Ergonômico",Móveis,1606.41,3,4819.23,,0,4819.23,39.00,Boleto,Cancelado
10014,2025-05-05,15:51:04,2,"Laura Silva Gomes",852.766.116-53,laura.silva.gomes98@empresa.com,PR,3,"Teclado Premium",Computadores,1697.33,1,1697.33,,0,1697.33,42.00,Cartao Debito,Cancelado
10015,2024-09-12,02:43:13,2,"Laura Silva Gomes",852.766.116-53,laura.silva.gomes98@empresa.com,PR,1,"Tablet Ergonômico",Computadores,706.23,3,2118.69,,0,2118.69,38.00,Cartao Credito,Cancelado
10015,2024-09-12,02:43:13,2,"Laura Silva Gomes",852.766.116-53,laura.silva.gomes98@empresa.com,PR,2,"Microfone Ergonômico",Móveis,1606.41,2,3212.82,,0,3212.82,37.00,Cartao Credito,Cancelado
10016,2024-11-12,13:18:41,1,"Alice Ferreira Souza",081.015.657-63,alice.ferreira.souza28@outlook.com,PE,3,"Teclado Premium",Computadores,1697.33,1,1697.33,,0,1697.33,41.00,Cartao Credito,Pendente
10016,2024-11-12,13:18:41,1,"Alice Ferreira Souza",081.015.657-63,alice.ferreira.souza28@outlook.com,PE,2,"Microfone Ergonômico",Móveis,1606.41,1,1606.41,,0,1606.41,35.00,Cartao Credito,Pendente
10016,2024-11-12,13:18:41,1,"Alice Ferreira Souza",081.015.657-63,alice.ferreira.souza28@outlook.com,PE,3,"Teclado Premium",Computadores,1697.33,2,3394.66,,0,3394.66,48.00,Cartao Credito,Pendente
10016,2024-11-12,13:18:41,1,"Alice Ferreira Souza",081.015.657-63,alice.ferreira.souza28@outlook.com,PE,3,"Teclado Premium",Computadores,1697.33,1,1697.33,,0,1697.33,41.00,Cartao Credito,Pendente
10017,2024-06-27,00:17:01,3,"Gabriel Oliveira Ferreira",976.721.468-46,gabriel.oliveira.ferreira86@hotmail.com,BA,3,"Teclado Premium",Computadores,1697.33,2,3394.66,,0,3394.66,50.00,Boleto,Entregue
10017,2024-06-27,00:17:01,3,"Gabriel Oliveira Ferreira",976.721.468-46,gabriel.oliveira.ferreira86@hotmail.com,BA,2,"Microfone Ergonômico",Móveis,1606.41,1,1606.41,,0,1606.41,37.00,Boleto,Entregue
10017,2024-06-27,00:17:01,3,"Gabriel Oliveira Ferreira",976.721.468-46,gabriel.oliveira.ferreira86@hotmail.com,BA,1,"Tablet Ergonômico",Computadores,706.23,3,2118.69,,0,2118.69,39.00,Boleto,Entregue
10018,2024-11-19,04:50:50,1,"Alice Ferreira Souza",081.015.657-63,alice.ferreira.souza28@outlook.com,PE,3,"Teclado Premium",Computadores,1697.33,1,1697.33,,0,1697.33,41.00,Pix,Pendente
10018,2024-11-19,04:50:50,1,"Alice Ferreira Souza",081.015.657-63,alice.ferreira.souza28@outlook.com,PE,1,"Tablet Ergonômico",Computadores,706.23,1,706.23,,0,706.23,35.00,Pix,Pendente
10018,2024-11-19,04:50:50,1,"Alice Ferreira Souza",081.015.657-63,alice.ferreira.souza28@outlook.com,PE,2,"Microfone Ergonômico",Móveis,1606.41,1,1606.41,,0,1606.41,35.00,Pix,Pendente
10018,2024-11-19,04:50:50,1,"Alice Ferreira Souza",081.015.657-63,alice.ferreira.souza28@outlook.com,PE,2,"Microfone Ergonômico",Móveis,1606.41,2,3212.82,,0,3212.82,36.00,Pix,Pendente
10019,2025-07-06,04:47:50,1,"Alice Ferreira Souza",081.015.657-63,alice.ferreira.souza28@outlook.com,PE,3,"Teclado Premium",Computadores,1697.33,1,1697.33,,0,1697.33,41.00,Cartao Credito,Pendente
10019,2025-07-06,04:47:50,1,"Alice Ferreira Souza",081.015.657-63,alice.ferreira.souza28@outlook.com,PE,3,"Teclado Premium",Computadores,1697.33,2,3394.66,,0,3394.66,48.00,Cartao Credito,Pendente
10019,2025-07-06,04:47:50,1,"Alice Ferreira Souza",081.015.657-63,alice.ferreira.souza28@outlook.com,PE,3,"Teclado Premium",Computadores,1697.33,1,1697.33,,0,1697.33,41.00,Cartao Credito,Pendente
10020,2025-09-13,06:09:13,2,"Laura Silva Gomes",852.766.116-53,laura.silva.gomes98@empresa.com,PR,1,"Tablet Ergonômico",Computadores,706.23,3,2118.69,,0,2118.69,38.00,Cartao Debito,Pendente
10020,2025-09-13,06:09:13,2,"Laura Silva Gomes",852.766.116-53,laura.silva.gomes98@empresa.com,PR,3,"Teclado Premium",Computadores,1697.33,2,3394.66,,0,3394.66,49.00,Cartao Debito,Pendente
10020,2025-09-13,06:09:13,2,"Laura Silva Gomes",852.766.116-53,laura.silva.gomes98@empresa.com,PR,3,"Teclado Premium",Computadores,1697.33,1,1697.33,,0,1697.33,42.00,Cartao Debito,Pendente
10020,2025-09-13,06:09:13,2,"Laura Silva Gomes",852.766.116-53,laura.silva.gomes98@empresa.com,PR,1,"Tablet Ergonômico",Computadores,706.23,3,2118.69,,0,2118.69,38.00,Cartao Debito,Pendente
10021,2025-06-15,12:50:17,4,"Joao Santos Lima",155.555.784-07,joao.santos.lima25@outlook.com,SC,2,"Microfone Ergonômico",Móveis,1606.41,3,4819.23,,0,4819.23,23.00,Cartao Debito,Cancelado
10022,2025-12-19,09:08:15,4,"Joao Santos Lima",155.555.784-07,joao.santos.lima25@outlook.com,SC,4,"Mouse Smart",Periféricos,3158.39,3,9475.17,,0,9475.17,27.50,Cartao Credito,Enviado
10022,2025-12-19,09:08:15,4,"Joao Santos Lima",155.555.784-07,joao.santos.lima25@outlook.com,SC,3,"Teclado Premium",Computadores,1697.33,2,3394.66,,0,3394.66,34.00,Cartao Credito,Enviado
10022,2025-12-19,09:08:15,4,"Joao Santos Lima",155.555.784-07,joao.santos.lima25@outlook.com,SC,4,"Mouse Smart",Periféricos,3158.39,2,6316.78,,0,6316.78,25.00,Cartao Credito,Enviado
10022,2025-12-19,09:08:15,4,"Joao Santos Lima",155.555.784-07,joao.santos.lima25@outlook.com,SC,1,"Tablet Ergonômico",Computadores,706.23,2,1412.46,,0,1412.46,22.00,Cartao Credito,Enviado
10022,2025-12-19,09:08:15,4,"Joao Santos Lima",155.555.784-07,joao.santos.lima25@outlook.com,SC,1,"Tablet Ergonômico",Computadores,706.23,3,2118.69,,0,2118.69,23.00,Cartao Credito,Enviado
10023,2025-03-05,19:37:20,2,"Laura Silva Gomes",852.766.116-53,laura.silva.gomes98@empresa.com,PR,4,"Mouse Smart",Periféricos,3158.39,3,9475.17,,0,9475.17,42.50,Cartao Credito,Cancelado
10023,2025-03-05,19:37:20,2,"Laura Silva Gomes",852.766.116-53,laura.silva.gomes98@empresa.com,PR,2,"Microfone Ergonômico",Móveis,1606.41,2,3212.82,,0,3212.82,37.00,Cartao Credito,Cancelado
10024,2025-01-17,08:04:29,4,"Joao Santos Lima",155.555.784-07,joao.santos.lima25@outlook.com,SC,2,"Microfone Ergonômico",Móveis,1606.41,3,4819.23,,0,4819.23,23.00,Cartao Debito,Pendente
10025,2025-06-08,20:03:59,3,"Gabriel Oliveira Ferreira",976.721.468-46,gabriel.oliveira.ferreira86@hotmail.com,BA,3,"Teclado Premium",Computadores,1697.33,1,1697.33,,0,1697.33,43.00,Boleto,Concluido
10026,2025-07-05,11:15:37,1,"Alice Ferreira Souza",081.015.657-63,alice.ferreira.souza28@outlook.com,PE,2,"Microfone Ergonômico",Móveis,1606.41,1,1606.41,,0,1606.41,35.00,Boleto,Enviado
10026,2025-07-05,11:15:37,1,"Alice Ferreira Souza",081.015.657-63,alice.ferreira.souza28@outlook.com,PE,4,"Mouse Smart",Periféricos,3158.39,1,3158.39,,0,3158.39,36.50,Boleto,Enviado
10026,2025-07-05,11:15:37,1,"Alice Ferreira Souza",081.015.657-63,alice.ferreira.souza28@outlook.com,PE,3,"Teclado Premium",Computadores,1697.33,2,3394.66,,0,3394.66,48.00,Boleto,Enviado
10026,2025-07-05,11:15:37,1,"Alice Ferreira Souza",081.015.657-63,alice.ferreira.souza28@outlook.com,PE,2,"Microfone Ergonômico",Móveis,1606.41,3,4819.23,,0,4819.23,37.00,Boleto,Enviado
10027,2025-12-10,04:33:29,4,"Joao Santos Lima",155.555.784-07,joao.santos.lima25@outlook.com,SC,1,"Tablet Ergonômico",Computadores,706.23,1,706.23,,0,706.23,21.00,Boleto,Pendente
10027,2025-12-10,04:33:29,4,"Joao Santos Lima",155.555.784-07,joao.santos.lima25@outlook.com,SC,1,"Tablet Ergonômico",Computadores,706.23,2,1412.46,,0,1412.46,22.00,Boleto,Pendente
10028,2024-06-21,19:23:30,3,"Gabriel Oliveira Ferreira",976.721.468-46,gabriel.oliveira.ferreira86@hotmail.com,BA,2,"Microfone Ergonômico",Móveis,1606.41,3,4819.23,OFF15,22,3759.00,39.00,Cartao Credito,Entregue
10029,2025-08-20,23:12:08,3,"Gabriel Oliveira Ferreira",976.721.468-46,gabriel.oliveira.ferreira86@hotmail.com,BA,2,"Microfone Ergonômico",Móveis,1606.41,3,4819.23,,0,4819.23,39.00,Cartao Debito,Enviado
10029,2025-08-20,23:12:08,3,"Gabriel Oliveira Ferreira",976.721.468-46,gabriel.oliveira.ferreira86@hotmail.com,BA,3,"Teclado Premium",Computadores,1697.33,1,1697.33,,0,1697.33,43.00,Cartao Debito,Enviado
10029,2025-08-20,23:12:08,3,"Gabriel Oliveira Ferreira",976.721.468-46,gabriel.oliveira.ferreira86@hotmail.com,BA,4,"Mouse Smart",Periféricos,3158.39,2,6316.78,,0,6316.78,41.00,Cartao Debito,Enviado
10029,2025-08-20,23:12:08,3,"Gabriel Oliveira Ferreira",976.721.468-46,gabriel.oliveira.ferreira86@hotmail.com,BA,3,"Teclado Premium",Computadores,1697.33,3,5091.99,,0,5091.99,57.00,Cartao Debito,Enviado
10030,2024-10-27,18:27:17,3,"Gabriel Oliveira Ferreira",976.721.468-46,gabriel.oliveira.ferreira86@hotmail.com,BA,3,"Teclado Premium",Computadores,1697.33,3,5091.99,,0,5091.99,57.00,Cartao Debito,Cancelado
10030,2024-10-27,18:27:17,3,"Gabriel Oliveira Ferreira",976.721.468-46,gabriel.oliveira.ferreira86@hotmail.com,BA,4,"Mouse Smart",Periféricos,3158.39,2,6316.78,,0,6316.78,41.00,Cartao Debito,Cancelado
10031,2024-05-07,00:37:22,4,"Joao Santos Lima",155.555.784-07,joao.santos.lima25@outlook.com,SC,3,"Teclado Premium",Computadores,1697.33,3,5091.99,,0,5091.99,41.00,Cartao Debito,Cancelado
10032,2024-08-24,18:34:10,3,"Gabriel Oliveira Ferreira",976.721.468-46,gabriel.oliveira.ferreira86@hotmail.com,BA,2,"Microfone Ergonômico",Móveis,1606.41,3,4819.23,OFF15,22,3759.00,39.00,Pix,Cancelado
10032,2024-08-24,18:34:10,3,"Gabriel Oliveira Ferreira",976.721.468-46,gabriel.oliveira.ferreira86@hotmail.com,BA,2,"Microfone Ergonômico",Móveis,1606.41,3,4819.23,OFF15,22,3759.00,39.00,Pix,Cancelado
10032,2024-08-24,18:34:10,3,"Gabriel Oliveira Ferreira",976.721.468-46,gabriel.oliveira.ferreira86@hotmail.com,BA,4,"Mouse Smart",Periféricos,3158.39,2,6316.78,OFF15,22,4927.09,41.00,Pix,Cancelado
10033,2025-01-04,22:09:58,2,"Laura Silva Gomes",852.766.116-53,laura.silva.gomes98@empresa.com,PR,2,"Microfone Ergonômico",Móveis,1606.41,2,3212.82,,0,3212.82,37.00,Pix,Enviado
10033,2025-01-04,22:09:58,2,"Laura Silva Gomes",852.766.116-53,laura.silva.gomes98@empresa.com,PR,3,"Teclado Premium",Computadores,1697.33,2,3394.66,,0,3394.66,49.00,Pix,Enviado
10034,2024-10-24,16:21:06,2,"Laura Silva Gomes",852.766.116-53,laura.silva.gomes98@empresa.com,PR,2,"Microfone Ergonômico",Móveis,1606.41,2,3212.82,,0,3212.82,37.00,Cartao Debito,Pendente
10034,2024-10-24,16:21:06,2,"Laura Silva Gomes",852.766.116-53,laura.silva.gomes98@empresa.com,PR,3,"Teclado Premium",Computadores,1697.33,2,3394.66,,0,3394.66,49.00,Cartao Debito,Pendente
10034,2024-10-24,16:21:06,2,"Laura Silva Gomes",852.766.116-53,laura.silva.gomes98@empresa.com,PR,1,"Tablet Ergonômico",Computadores,706.23,1,706.23,,0,706.23,36.00,Cartao Debito,Pendente
10034,2024-10-24,16:21:06,2,"Laura Silva Gomes",852.766.116-53,laura.silva.gomes98@empresa.com,PR,2,"Microfone Ergonômico",Móveis,1606.41,1,1606.41,,0,1606.41,36.00,Cartao Debito,Pendente
10035,2025-11-29,06:05:08,1,"Alice Ferreira Souza",081.015.657-63,alice.ferreira.souza28@outlook.com,PE,3,"Teclado Premium",Computadores,1697.33,1,1697.33,,0,1697.33,41.00,Cartao Credito,Cancelado
10035,2025-11-29,06:05:08,1,"Alice Ferreira Souza",081.015.657-63,alice.ferreira.souza28@outlook.com,PE,3,"Teclado Premium",Computadores,1697.33,2,3394.66,,0,3394.66,48.00,Cartao Credito,Cancelado
10035,2025-11-29,06:05:08,1,"Alice Ferreira Souza",081.015.657-63,alice.ferreira.souza28@outlook.com,PE,3,"Teclado Premium",Computadores,1697.33,2,3394.66,,0,3394.66,48.00,Cartao Credito,Cancelado
10035,2025-11-29,06:05:08,1,"Alice Ferreira Souza",081.015.657-63,alice.ferreira.souza28@outlook.com,PE,2,"Microfone Ergonômico",Móveis,1606.41,3,4819.23,,0,4819.23,37.00,Cartao Credito,Cancelado
10036,2024-02-22,22:57:34,3,"Gabriel Oliveira Ferreira",976.721.468-46,gabriel.oliveira.ferreira86@hotmail.com,BA,1,"Tablet Ergonômico",Computadores,706.23,3,2118.69,OFF15,22,1652.58,39.00,Cartao Credito,Enviado
10036,2024-02-22,22:57:34,3,"Gabriel Oliveira Ferreira",976.721.468-46,gabriel.oliveira.ferreira86@hotmail.com,BA,2,"Microfone Ergonômico",Móveis,1606.41,1,1606.41,OFF15,22,1253.00,37.00,Cartao Credito,Enviado
10036,2024-02-22,22:57:34,3,"Gabriel Oliveira Ferreira",976.721.468-46,gabriel.oliveira.ferreira86@hotmail.com,BA,4,"Mouse Smart",Periféricos,3158.39,1,3158.39,OFF15,22,2463.54,38.50,Cartao Credito,Enviado
10036,2024-02-22,22:57:34,3,"Gabriel Oliveira Ferreira",976.721.468-46,gabriel.oliveira.ferreira86@hotmail.com,BA,2,"Microfone Ergonômico",Móveis,1606.41,2,3212.82,OFF15,22,2506.00,38.00,Cartao Credito,Enviado
10037,2025-11-04,18:26:24,4,"Joao Santos Lima",155.555.784-07,joao.santos.lima25@outlook.com,SC,3,"Teclado Premium",Computadores,1697.33,2,3394.66,,0,3394.66,34.00,Pix,Pendente
10038,2024-08-19,02:10:13,2,"Laura Silva Gomes",852.766.116-53,laura.silva.gomes98@empresa.com,PR,2,"Microfone Ergonômico",Móveis,1606.41,3,4819.23,,0,4819.23,38.00,Cartao Debito,Cancelado
10038,2024-08-19,02:10:13,2,"Laura Silva Gomes",852.766.116-53,laura.silva.gomes98@empresa.com,PR,1,"Tablet Ergonômico",Computadores,706.23,2,1412.46,,0,1412.46,37.00,Cartao Debito,Cancelado
10039,2024-10-26,21:30:40,3,"Gabriel Oliveira Ferreira",976.721.468-46,gabriel.oliveira.ferreira86@hotmail.com,BA,3,"Teclado Premium",Computadores,1697.33,1,1697.33,,0,1697.33,43.00,Cartao Credito,Entregue
10039,2024-10-26,21:30:40,3,"Gabriel Oliveira Ferreira",976.721.468-46,gabriel.oliveira.ferreira86@hotmail.com,BA,1,"Tablet Ergonômico",Computadores,706.23,1,706.23,,0,706.23,37.00,Cartao Credito,Entregue
10039,2024-10-26,21:30:40,3,"Gabriel Oliveira Ferreira",976.721.468-46,gabriel.oliveira.ferreira86@hotmail.com,BA,4,"Mouse Smart",Periféricos,3158.39,3,9475.17,,0,9475.17,43.50,Cartao Credito,Entregue
10040,2024-05-21,01:39:06,2,"Laura Silva Gomes",852.766.116-53,laura.silva.gomes98@empresa.com,PR,3,"Teclado Premium",Computadores,1697.33,1,1697.33,VIP44,21,1340.89,42.00,Cartao Credito,Entregue
10040,2024-05-21,01:39:06,2,"Laura Silva Gomes",852.766.116-53,laura.silva.gomes98@empresa.com,PR,2,"Microfone Ergonômico",Móveis,1606.41,1,1606.41,VIP44,21,1269.06,36.00,Cartao Credito,Entregue
10040,2024-05-21,01:39:06,2,"Laura Silva Gomes",852.766.116-53,laura.silva.gomes98@empresa.com,PR,4,"Mouse Smart",Periféricos,3158.39,3,9475.17,VIP44,21,7485.38,42.50,Cartao Credito,Entregue
10041,2025-08-25,09:34:33,3,"Gabriel Oliveira Ferreira",976.721.468-46,gabriel.oliveira.ferreira86@hotmail.com,BA,1,"Tablet Ergonômico",Computadores,706.23,3,2118.69,VIP44,21,1673.77,39.00,Pix,Cancelado
10042,2025-02-01,10:25:53,4,"Joao Santos Lima",155.555.784-07,joao.santos.lima25@outlook.com,SC,2,"Microfone Ergonômico",Móveis,1606.41,2,3212.82,VIP44,21,2538.13,22.00,Cartao Debito,Pendente
10042,2025-02-01,10:25:53,4,"Joao Santos Lima",155.555.784-07,joao.santos.lima25@outlook.com,SC,4,"Mouse Smart",Periféricos,3158.39,1,3158.39,VIP44,21,2495.13,22.50,Cartao Debito,Pendente
10043,2025-06-01,15:31:33,5,"Isabella Rodrigues Souza",362.760.716-50,isabella.rodrigues.souza71@hotmail.com,RS,2,"Microfone Ergonômico",Móveis,1606.41,3,4819.23,,0,4819.23,29.00,Cartao Credito,Enviado
10043,2025-06-01,15:31:33,5,"Isabella Rodrigues Souza",362.760.716-50,isabella.rodrigues.souza71@hotmail.com,RS,4,"Mouse Smart",Periféricos,3158.39,3,9475.17,,0,9475.17,33.50,Cartao Credito,Enviado
10044,2025-10-06,08:59:37,5,"Isabella Rodrigues Souza",362.760.716-50,isabella.rodrigues.souza71@hotmail.com,RS,4,"Mouse Smart",Periféricos,3158.39,1,3158.39,,0,3158.39,28.50,Cartao Debito,Concluido
10044,2025-10-06,08:59:37,5,"Isabella Rodrigues Souza",362.760.716-50,isabella.rodrigues.souza71@hotmail.com,RS,1,"Tablet Ergonômico",Computadores,706.23,3,2118.69,,0,2118.69,29.00,Cartao Debito,Concluido
10044,2025-10-06,08:59:37,5,"Isabella Rodrigues Souza",362.760.716-50,isabella.rodrigues.souza71@hotmail.com,RS,1,"Tablet Ergonômico",Computadores,706.23,1,706.23,,0,706.23,27.00,Cartao Debito,Concluido
10045,2024-09-26,05:17:12,3,"Gabriel Oliveira Ferreira",976.721.468-46,gabriel.oliveira.ferreira86@hotmail.com,BA,4,"Mouse Smart",Periféricos,3158.39,1,3158.39,,0,3158.39,38.50,Pix,Concluido
